,type,Hospital Name,CMS Certification Number,Beds,ADDRESS,CITY,STATE,ZIP,Telephone,rural ,mua,X,Y,size
0,Cancer Treatment Center,ALABAMA CANCER CARE,,,1608 GLENN BLVD SW,FORT PAYNE,AL,35968,2568453500,Yes,Yes,-85.7544996056,34.4378793058,5
1,Cancer Treatment Center,ALABAMA CANCER CARE LLC,,,355 SO 2ND ST,GADSDEN,AL,35901,2565470536,No,Yes,-86.0027886024,34.0086059524,5
2,Radiology Only,Baptist Health Brookwood Hospital,10139.0,595,2010 Brookwood Medical Center Drive,Birmingham,AL,35209,(833) 251-9895,No,No,-86.7760221878,33.4633123146,5
3,Radiology Only,Baptist Health Princeton Hospital,10103.0,303,701 Princeton Avenue Southwest,Birmingham,AL,35211,(833) 251-9897,No,Yes,-86.845779655,33.4992445696,5
4,Chemotherapy Only,Baptist Medical Center South,10023.0,408,2105 East South Boulevard,Montgomery,AL,36116,(334) 288-2100,No,No,-86.2774737115,32.327160678,5
5,Cancer Treatment Center,"CANCER CENTER OF HUNTSVILLE, THE",,,"201 SIVLEY ROAD, SW, SUITE 200",HUNTSVILLE,AL,35801,2562651822,No,Yes,-86.5822039203,34.7210372122,5
6,Chemotherapy Only,Children's Hospital of Alabama,13300.0,351,1600 Seventh Avenue South,Birmingham,AL,35233,(205) 638-9100,No,Yes,-86.8049895423,33.503437449,5
7,Chemotherapy Only,Coosa Valley Medical Center,10164.0,142,315 West Hickory Street,Sylacauga,AL,35150,(256) 401-4000,Yes,Yes,-86.254496568,33.1647495102,5
8,Chemotherapy Only,D.W. McMillan Memorial Hospital,10099.0,46,1301 Belleville Avenue,Brewton,AL,36426,(251) 867-8061,Yes,Yes,-87.0725387181,31.1273937491,5
9,Chemo and Radiology,DCH Regional Medical Center,10092.0,494,809 University Boulevard East,Tuscaloosa,AL,35401,(205) 759-7111,No,Yes,-87.5268177537,33.20628666,5
10,Chemotherapy Only,Decatur Morgan Hospital,10085.0,374,1201 Seventh Street Southeast,Decatur,AL,35601,(256) 341-2000,No,No,-86.9719216819,34.5911336386,5
11,Cancer Treatment Center,E L SPENCER JR & RUTH PRIESTER SPENCER CANCER CTR,,,2501 VILLAGE PROFESSIONAL DRIVE,OPELIKA,AL,36801,3345288455,No,Yes,-85.4147541171,32.647026448,5
12,Chemo and Radiology,East Alabama Medical Center,10029.0,288,2000 Pepperell Parkway,Opelika,AL,36801,(334) 749-3411,No,Yes,-85.4040920573,32.6380756836,5
13,Radiology Only,Gadsden Regional Medical Center,10040.0,190,1007 Goodyear Avenue,Gadsden,AL,35903,(256) 494-4000,No,Yes,-85.9652347425,34.0086256079,5
14,Cancer Treatment Center,GRANDVIEW CANCER CENTER,,,"3670 GRANDVIEW PARKWAY, SUITE 100",BIRMINGHAM,AL,35243,2059714581,No,No,-86.7209770562,33.4339949318,5
