FIP,STNAME,CTYNAME,Age Range VLMS,TOT_POP,TOT_FEMALE,White TOT,Black/African American TOT,American Indian/Alaskan Native TOT,Asian TOT,Native American TOT,Mixed Race TOT,Hispanic TOT,Non-Hispanic TOT
01001,Alabama,Autauga County,0-4,3617,1726,2466,904,21,80,4,109,297,4992
01001,Alabama,Autauga County,10-14,3990,1974,2846,991,29,108,6,85,307,5703
01001,Alabama,Autauga County,15-19,3935,1910,2748,966,26,97,13,69,400,5403
01001,Alabama,Autauga County,20-44,19111,9838,14207,4938,125,503,46,180,1236,28476
01001,Alabama,Autauga County,45-64,15712,8067,12185,3559,136,378,19,73,633,23648
01001,Alabama,Autauga County,5-9,3850,1867,2696,937,20,89,12,100,311,5390
01001,Alabama,Autauga County,65-84,9091,5074,8239,1682,103,220,7,51,295,14978
01001,Alabama,Autauga County,85+,1036,609,1010,147,29,63,0,8,24,1813
01001,Alabama,Autauga County,Total,60342,31065,46397,14124,489,1538,107,675,3503,90403
01003,Alabama,Baldwin County,0-4,12860,6244,10440,1672,186,393,18,376,2107,17036
01003,Alabama,Baldwin County,10-14,15709,7671,13081,1771,214,493,42,366,2174,21250
01003,Alabama,Baldwin County,15-19,15166,7459,12626,1792,212,524,19,320,1962,20778
01003,Alabama,Baldwin County,20-44,71204,36169,62136,7578,948,2600,125,725,7181,102152
01003,Alabama,Baldwin County,45-64,68170,35416,63585,5490,760,1720,77,347,4547,102088
01003,Alabama,Baldwin County,5-9,14475,7051,11921,1646,268,542,32,415,1942,19665
01003,Alabama,Baldwin County,65-84,51076,27192,50451,2964,561,938,41,212,1740,80058
01003,Alabama,Baldwin County,85+,4847,2808,5235,269,78,114,1,23,204,8246
01003,Alabama,Baldwin County,Total,253507,130010,229475,23182,3227,7324,355,2784,21857,371273
01005,Alabama,Barbour County,0-4,1307,631,554,660,7,24,24,29,245,1677
01005,Alabama,Barbour County,10-14,1449,762,729,774,5,18,4,26,297,2016
01005,Alabama,Barbour County,15-19,1477,713,700,693,27,34,1,20,277,1884
01005,Alabama,Barbour County,20-44,7843,3100,2663,3380,72,131,29,40,511,8832
01005,Alabama,Barbour County,45-64,6130,2838,2993,2587,44,86,10,14,331,8197
01005,Alabama,Barbour County,5-9,1319,624,555,663,13,29,1,24,246,1650
01005,Alabama,Barbour County,65-84,4533,2511,2998,1951,33,67,6,21,120,7434
01005,Alabama,Barbour County,85+,527,340,393,270,10,15,2,3,12,1011
01005,Alabama,Barbour County,Total,24585,11519,11585,10978,211,404,77,177,2039,32701
01007,Alabama,Bibb County,0-4,1167,620,952,238,34,44,9,43,193,1713
01007,Alabama,Bibb County,10-14,1178,563,905,206,10,15,0,16,94,1611
01007,Alabama,Bibb County,15-19,1203,554,849,242,10,18,2,17,62,1620
01007,Alabama,Bibb County,20-44,7248,3028,4802,1173,42,71,13,28,409,8706
01007,Alabama,Bibb County,45-64,5878,2743,4466,921,59,96,4,23,139,8114
01007,Alabama,Bibb County,5-9,1195,595,904,265,13,21,0,35,95,1725
01007,Alabama,Bibb County,65-84,3577,1934,3308,536,17,25,2,17,128,5694
01007,Alabama,Bibb County,85+,422,301,494,97,8,11,0,9,12,900
01007,Alabama,Bibb County,Total,21868,10338,16680,3678,193,301,30,188,1132,30083
01009,Alabama,Blount County,0-4,3493,1739,3302,112,49,59,8,52,910,4362
01009,Alabama,Blount County,10-14,3941,1916,3668,99,39,68,2,68,935,4886
01009,Alabama,Blount County,15-19,3812,1927,3672,102,46,71,10,51,1127,4706
01009,Alabama,Blount County,20-44,17678,8702,16724,400,176,255,36,111,2942,23286
01009,Alabama,Blount County,45-64,15682,7805,15093,312,120,197,17,86,1660,21850
01009,Alabama,Blount County,5-9,3729,1782,3377,109,35,74,5,46,856,4537
01009,Alabama,Blount County,65-84,10296,5481,10607,165,136,186,5,55,448,16051
01009,Alabama,Blount County,85+,1185,708,1363,24,24,27,2,11,15,2120
01009,Alabama,Blount County,Total,59816,30060,57806,1323,625,937,85,480,8893,81798
01011,Alabama,Bullock County,0-4,496,219,111,317,4,6,4,7,108,556
01011,Alabama,Bullock County,10-14,597,295,126,438,13,24,2,10,100,795
01011,Alabama,Bullock County,15-19,590,245,80,389,7,9,14,6,87,656
01011,Alabama,Bullock County,20-44,3260,1228,459,1916,42,54,31,15,318,3385
01011,Alabama,Bullock County,45-64,2515,1103,511,1663,22,28,4,7,160,3156
01011,Alabama,Bullock County,5-9,532,283,129,432,0,5,0,6,108,747
01011,Alabama,Bullock County,65-84,1707,925,543,1289,15,19,0,5,24,2757
01011,Alabama,Bullock County,85+,200,139,90,184,4,4,0,0,9,408
01011,Alabama,Bullock County,Total,9897,4437,2049,6628,107,149,55,56,914,12460
01013,Alabama,Butler County,0-4,1060,509,487,512,9,18,1,25,33,1519
01013,Alabama,Butler County,10-14,1189,551,521,539,17,40,2,14,40,1627
01013,Alabama,Butler County,15-19,1158,537,486,556,6,30,2,6,45,1572
01013,Alabama,Butler County,20-44,5271,2826,2434,3071,37,144,3,23,143,8358
01013,Alabama,Butler County,45-64,4565,2487,2564,2310,36,96,6,29,102,7390
01013,Alabama,Butler County,5-9,1073,532,480,559,12,25,0,15,56,1555
01013,Alabama,Butler County,65-84,3550,1967,2394,1476,29,65,0,17,39,5880
01013,Alabama,Butler County,85+,516,374,521,218,8,10,0,4,3,1124
01013,Alabama,Butler County,Total,18382,9783,9887,9241,154,428,14,133,461,29025
01015,Alabama,Calhoun County,0-4,6523,3156,4493,1673,36,135,23,189,846,8823
01015,Alabama,Calhoun County,10-14,6865,3372,4774,1807,55,159,16,186,780,9534
01015,Alabama,Calhoun County,15-19,8873,4375,5603,2974,59,176,13,136,849,12428
01015,Alabama,Calhoun County,20-44,37251,18862,27144,9773,312,752,101,399,2747,54284
01015,Alabama,Calhoun County,45-64,28264,14483,22151,6186,233,602,42,143,1440,42167
01015,Alabama,Calhoun County,5-9,6828,3362,4708,1823,74,197,11,233,895,9439
01015,Alabama,Calhoun County,65-84,19816,10990,17809,3663,241,505,13,103,469,32614
01015,Alabama,Calhoun County,85+,2009,1410,2336,422,25,61,5,16,70,4180
01015,Alabama,Calhoun County,Total,116429,60010,89018,28321,1035,2587,224,1405,8096,173469
01017,Alabama,Chambers County,0-4,1844,900,1070,708,16,21,2,60,239,2522
01017,Alabama,Chambers County,10-14,2022,1009,1097,893,17,29,0,24,223,2829
01017,Alabama,Chambers County,15-19,2033,1030,1070,968,6,23,0,25,146,2970
01017,Alabama,Chambers County,20-44,9859,5133,5466,4644,61,152,8,60,529,14934
01017,Alabama,Chambers County,45-64,9113,4780,5526,3869,69,163,5,34,346,14031
01017,Alabama,Chambers County,5-9,2003,1006,1129,844,17,38,2,33,532,2520
01017,Alabama,Chambers County,65-84,6496,3654,4634,2586,52,86,2,28,75,10915
01017,Alabama,Chambers County,85+,709,475,653,290,4,8,1,4,41,1390
01017,Alabama,Chambers County,Total,34079,17987,20645,14802,242,520,20,268,2131,52111
01019,Alabama,Cherokee County,0-4,1208,563,1017,92,13,15,2,39,65,1663
01019,Alabama,Cherokee County,10-14,1340,633,1169,57,10,38,2,23,58,1864
01019,Alabama,Cherokee County,15-19,1415,683,1252,81,19,31,4,25,87,1989
