FIP,STNAME,CTYNAME,Age Range VLMS,TOT_POP,TOT_MALE,White TOT,Black/African American TOT,American Indian/Alaskan Native TOT,Asian TOT,Native American TOT,Mixed Race TOT,Hispanic TOT,Non-Hispanic TOT
01001,Alabama,Autauga County,0-4,3617,1891,2671,1013,17,100,3,111,298,5491
01001,Alabama,Autauga County,10-14,3990,2016,2850,1066,40,108,8,87,334,5801
01001,Alabama,Autauga County,15-19,3935,2025,2912,1053,23,72,16,64,297,5845
01001,Alabama,Autauga County,20-44,19111,9273,13875,4199,129,433,54,183,1406,26611
01001,Alabama,Autauga County,45-64,15712,7645,12046,2893,145,325,28,61,686,22312
01001,Alabama,Autauga County,5-9,3850,1983,2914,927,19,116,12,101,362,5691
01001,Alabama,Autauga County,65-84,9091,4017,6674,1211,85,142,8,36,177,11911
01001,Alabama,Autauga County,85+,1036,427,733,107,2,15,1,3,24,1262
01001,Alabama,Autauga County,Total,60342,29277,44675,12469,460,1311,130,646,3584,84924
01003,Alabama,Baldwin County,0-4,12860,6616,11140,1618,218,479,30,362,2028,18217
01003,Alabama,Baldwin County,10-14,15709,8038,13863,1753,193,451,35,399,2301,22238
01003,Alabama,Baldwin County,15-19,15166,7707,13214,1784,184,418,20,262,2190,21215
01003,Alabama,Baldwin County,20-44,71204,35035,59993,7905,1028,2140,84,631,7509,98279
01003,Alabama,Baldwin County,45-64,68170,32754,59139,4944,777,1404,57,326,4826,93798
01003,Alabama,Baldwin County,5-9,14475,7424,12692,1610,222,534,31,401,2193,20499
01003,Alabama,Baldwin County,65-84,51076,23884,44635,2350,563,772,20,194,1699,70156
01003,Alabama,Baldwin County,85+,4847,2039,3907,113,46,59,6,13,92,6045
01003,Alabama,Baldwin County,Total,253507,123497,218583,22077,3231,6257,283,2588,22838,350447
01005,Alabama,Barbour County,0-4,1307,676,600,724,10,18,11,29,282,1776
01005,Alabama,Barbour County,10-14,1449,687,631,710,16,28,5,26,267,1820
01005,Alabama,Barbour County,15-19,1477,764,665,797,40,56,10,7,275,2024
01005,Alabama,Barbour County,20-44,7843,4743,4074,5213,114,156,44,60,747,13543
01005,Alabama,Barbour County,45-64,6130,3292,3697,2760,86,116,14,31,567,9343
01005,Alabama,Barbour County,5-9,1319,695,636,728,15,25,2,29,316,1799
01005,Alabama,Barbour County,65-84,4533,2022,2581,1394,39,62,8,19,106,5980
01005,Alabama,Barbour County,85+,527,187,253,112,5,9,0,1,9,553
01005,Alabama,Barbour County,Total,24585,13066,13137,12438,325,470,94,202,2569,36838
01007,Alabama,Bibb County,0-4,1167,547,837,252,2,5,0,15,140,1516
01007,Alabama,Bibb County,10-14,1178,615,978,224,18,23,6,30,72,1804
01007,Alabama,Bibb County,15-19,1203,649,1005,280,6,13,0,13,78,1882
01007,Alabama,Bibb County,20-44,7248,4220,5555,2772,52,77,37,39,503,12197
01007,Alabama,Bibb County,45-64,5878,3135,4898,1304,46,60,9,23,256,9173
01007,Alabama,Bibb County,5-9,1195,600,906,259,24,35,0,31,132,1699
01007,Alabama,Bibb County,65-84,3577,1643,2791,438,50,58,0,21,80,4871
01007,Alabama,Bibb County,85+,422,121,217,17,6,9,1,5,12,358
01007,Alabama,Bibb County,Total,21868,11530,17187,5546,204,280,53,177,1273,33500
01009,Alabama,Blount County,0-4,3493,1754,3316,118,23,62,14,57,830,4491
01009,Alabama,Blount County,10-14,3941,2025,3869,109,38,66,6,39,1062,5052
01009,Alabama,Blount County,15-19,3812,1885,3572,127,37,63,9,37,914,4779
01009,Alabama,Blount County,20-44,17678,8976,17140,530,169,245,44,97,3719,23313
01009,Alabama,Blount County,45-64,15682,7877,15223,282,154,223,30,69,1980,21724
01009,Alabama,Blount County,5-9,3729,1947,3630,143,38,116,7,49,912,4980
01009,Alabama,Blount County,65-84,10296,4815,9330,150,112,146,5,56,608,13894
01009,Alabama,Blount County,85+,1185,477,896,21,34,36,2,6,81,1357
01009,Alabama,Blount County,Total,59816,29756,56976,1480,605,957,117,410,10106,79590
01011,Alabama,Bullock County,0-4,496,277,115,418,5,19,2,7,87,751
01011,Alabama,Bullock County,10-14,597,302,138,445,13,17,4,12,107,811
01011,Alabama,Bullock County,15-19,590,345,152,519,7,7,12,10,110,935
01011,Alabama,Bullock County,20-44,3260,2032,1158,2820,31,45,41,28,409,5715
01011,Alabama,Bullock County,45-64,2515,1412,983,1799,29,34,8,8,150,4094
