preceptorID,specialty,name,addressSubpremise,addressStreetNumber,addressStreetRoute,addressNeighborhood,addressLocality,addressDistrict,addressCounty,addressState,addressCountry,addressPostalCode,addressPostalCodeSuffix,addressFormatted,geoLatitude,geoLongitude
12651,Surgery,"Memorial Advanced Surgery",NULL,NULL,NULL,NULL,Jacksonville,NULL,NULL,FL,NULL,32216,NULL,"3627 University Blvd South, Jacksonville FL 32216",NULL,NULL
12652,"Family Medicine","BRG Family Health Center",NULL,NULL,NULL,NULL,"Baton Rouge",NULL,NULL,LA,NULL,70806,NULL,"3401 North Blvd, Suite 200, Baton Rouge LA 70806",NULL,NULL
12653,"Sports Medicine","Piedmont Columbus Regional Midtown Campus",NULL,710,"Center Street",NULL,Columbus,NULL,"Muscogee County",GA,US,31901,NULL,"710 Center St, Columbus, GA 31901, USA",32.4805565,-84.9818420
12654,OB/GYN,"Sovah Health - Martinsville",NULL,320,"Hospital Drive",NULL,Martinsville,NULL,NULL,VA,US,24112,NULL,"320 Hospital Dr, Martinsville, VA 24112, USA",36.6992989,-79.8671036
12656,Pulmonology,"Salem Veterans Affairs Medical Center",NULL,1970,"Roanoke Blvd",NULL,Salem,NULL,NULL,VA,US,24153,NULL,"1970 Roanoke Blvd, Salem, VA 24153, USA",37.2759743,-80.0238724
12657,Cardiology,"North Oaks Medical Center",NULL,15837,"Paul Vega MD Drive",NULL,Hammond,NULL,"Tangipahoa Parish",LA,US,70403,NULL,"15837 Paul Vega MD Dr, Hammond, LA 70403, USA",30.4670181,-90.4586868
12658,hematology/oncology,"CHRISTUS St. Frances Cabrini Hospital",NULL,3330,"Masonic Drive",NULL,Alexandria,NULL,"Rapides Parish",LA,US,71301,NULL,"3330 Masonic Dr, Alexandria, LA 71301, USA",31.2833061,-92.4619904
12659,"Interventional Cardiology /Cardiovascular Disease","Carient Heart & Vascular Annandale",NULL,NULL,NULL,NULL,Annandale,NULL,NULL,NULL,NULL,22003,NULL,"7617 Little River Turnpike, Ste 110, Annandale 22003",NULL,NULL
12660,Pediatrics,"New Beginnings",NULL,NULL,NULL,NULL,Blacksburg,NULL,NULL,VA,NULL,24060,NULL,"3708 South Main Street, Suite B, Blacksburg VA 24060",NULL,NULL
12661,OMM,"MUSC Health - Florence",NULL,NULL,NULL,NULL,Florence,NULL,NULL,SC,NULL,29502,NULL,"PO Box 4113, Florence SC 29502",NULL,NULL
12662,Pediatrics,"New Beginnings",NULL,NULL,NULL,NULL,Blacksburg,NULL,NULL,VA,NULL,24060,NULL,"3708 South Main Street, Suite B, Blacksburg VA 24060",NULL,NULL
12664,Otolaryngology,"Charlotte Eye, Ear, Nose & Throat Associates",a,200,"S Herlong Ave",NULL,"Rock Hill",NULL,"York County",SC,US,29732,NULL,"200 S Herlong Ave a, Rock Hill, SC 29732, USA",34.9556465,-81.0495224
