entryDate,code,codeDescription,fips,addressCounty,count
2016-07-01,C18.2,Malignant neoplasm of ascending colon,12099,Palm Beach County,1
2016-07-01,C25.0,Malignant neoplasm of head of pancreas,12099,Palm Beach County,1
2016-07-13,C34.82,Malignant neoplasm of overlapping sites of left bronchus and lung,51121,Montgomery County,1
2016-07-14,C73,Malignant neoplasm of thyroid gland,51121,Montgomery County,2
2016-07-23,C18.4,Malignant neoplasm of transverse colon,45045,Greenville County,1
2016-08-09,C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung,51161,Roanoke County,1
2016-08-10,C25,Malignant neoplasm of pancreas,45083,Spartanburg County,1
2016-08-10,C34,Malignant neoplasm of bronchus and lung,45083,Spartanburg County,1
2016-08-11,C43,Malignant melanoma of skin,45083,Spartanburg County,1
2016-08-22,C43,Malignant melanoma of skin,1081,Lee County,1
2016-08-23,C92.00,"Acute myeloblastic leukemia, not having achieved remission",51590,Danville City County,1
2016-08-25,C43,Malignant melanoma of skin,1081,Lee County,1
2016-11-28,C91.1,Chronic lymphocytic leukemia of B-cell type,45045,Greenville County,1
2016-12-03,C61,Malignant neoplasm of prostate,45083,Spartanburg County,1
2017-03-02,C61,Malignant neoplasm of prostate,45083,Spartanburg County,1
2017-03-02,C67.9,"Malignant neoplasm of bladder, unspecified",51700,Newport News City County,1
2017-03-13,C50.919,Malignant neoplasm of unspecified site of unspecified female breast,45083,Spartanburg County,1
2017-03-18,C61,Malignant neoplasm of prostate,45083,Spartanburg County,1
2017-03-20,C67.9,"Malignant neoplasm of bladder, unspecified",1055,Etowah County,1
2017-03-21,C50.912,Malignant neoplasm of unspecified site of left female breast,51161,Roanoke County,1
2017-03-27,C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung,1055,Etowah County,1
2017-05-06,C50.919,Malignant neoplasm of unspecified site of unspecified female breast,51700,Newport News City County,1
2017-05-15,C85.10,"Unspecified B-cell lymphoma, unspecified site",1081,Lee County,1
2017-08-01,C50.411,Malignant neoplasm of upper-outer quadrant of right female breast,51161,Roanoke County,1
2017-08-01,C50.811,Malignant neoplasm of overlapping sites of right female breast,51015,Augusta County,2
2017-08-02,C18.5,Malignant neoplasm of splenic flexure,37159,Rowan County,1
2017-08-02,C34.0,Malignant neoplasm of main bronchus,51700,Newport News City County,1
2017-08-02,C67,Malignant neoplasm of bladder,20173,Sedgwick County,1
2017-08-03,C18.9,"Malignant neoplasm of colon, unspecified",51161,Roanoke County,1
2017-08-04,C50.912,Malignant neoplasm of unspecified site of left female breast,45091,York County,1
2017-08-04,C50.919,Malignant neoplasm of unspecified site of unspecified female breast,45083,Spartanburg County,1
2017-08-04,C61,Malignant neoplasm of prostate,51143,Pittsylvania County,1
