fips,addressCounty,addressState,count
1003,Baldwin County,AL,38
1007,Bibb County,AL,3
1015,Calhoun County,AL,6
1017,Chambers County,AL,51
1021,Chilton County,AL,1
1031,Coffee County,AL,206
1033,Colbert County,AL,259
1039,Covington County,AL,8
1043,Cullman County,AL,1
1055,Etowah County,AL,1008
1059,Franklin County,AL,6
1069,Houston County,AL,58
1073,Jefferson County,AL,1731
1077,Lauderdale County,AL,10
1081,Lee County,AL,2314
1089,Madison County,AL,1313
1097,Mobile County,AL,156
11001,District of Columbia County,DC,1
1101,Montgomery County,AL,4
1103,Morgan County,AL,8
1111,Randolph County,AL,2
1113,Russell County,AL,151
1115,St. Clair County,AL,1
1117,Shelby County,AL,1
1121,Talladega County,AL,141
1123,Tallapoosa County,AL,389
12001,Alachua County,FL,2
12011,Broward County,FL,6
12019,Clay County,FL,921
12021,Collier County,FL,2
12031,Duval County,FL,326
12033,Escambia County,FL,3
12061,Indian River County,FL,621
12071,Lee County,FL,6
12073,Leon County,FL,15
12083,Marion County,FL,2
12085,Martin County,FL,1
12086,Miami-Dade County,FL,2
12091,Okaloosa County,FL,715
12095,Orange County,FL,2
12097,Osceola County,FL,5
12099,Palm Beach County,FL,615
12103,Pinellas County,FL,54
12111,St. Lucie County,FL,7
12113,Santa Rosa County,FL,8
13053,Chattahoochee County,GA,3
13077,Coweta County,GA,6
13089,DeKalb County,GA,1
13095,Dougherty County,GA,9
13099,Early County,GA,1
13115,Floyd County,GA,10
13121,Fulton County,GA,3
13139,Hall County,GA,60
13185,Lowndes County,GA,261
13215,Muscogee County,GA,140
13245,Richmond County,GA,1
13275,Thomas County,GA,4
13285,Troup County,GA,1
17031,Cook County,IL,3
17167,Sangamon County,IL,9
19111,Lee County,IA,4
20173,Sedgwick County,KS,12
2020,Anchorage,AK,3
21067,Fayette County,KY,11
21111,Jefferson County,KY,2
21195,Pike County,KY,1
22009,Avoyelles Parish,LA,1
22011,Beauregard Parish,LA,97
22015,Bossier Parish,LA,21
22017,Caddo Parish,LA,465
22019,Calcasieu Parish,LA,4
22027,Claiborne Parish,LA,4
22033,East Baton Rouge Parish,LA,16
22035,East Carroll Parish,LA,3
22041,Franklin Parish,LA,17
22055,Lafayette Parish,LA,5
22061,Lincoln Parish,LA,91
22069,Natchitoches Parish,LA,147
22071,Orleans Parish,LA,1
22073,Ouachita Parish,LA,1141
22079,Rapides Parish,LA,413
22083,Richland Parish,LA,6
22097,St. Landry Parish,LA,241
22105,Tangipahoa Parish,LA,208
22111,Union Parish,LA,3
22115,Vernon Parish,LA,1
22119,Webster Parish,LA,2
22123,West Carroll Parish,LA,32
24003,Anne Arundel County,MD,3
24031,Montgomery County,MD,27
24045,Wicomico County,MD,1
26021,Berrien County,MI,1
