code,codeDescription,addressCounty,addressState,patientAge,patientSex,count
C18,Malignant neoplasm of colon,Aiken County,SC,19-44,Female,1
C18,Malignant neoplasm of colon,Aiken County,SC,45-64,Female,1
C18,Malignant neoplasm of colon,Aiken County,SC,45-64,Male,3
C18,Malignant neoplasm of colon,Aiken County,SC,65-84,Female,1
C18,Malignant neoplasm of colon,Aiken County,SC,65-84,Male,1
C18,Malignant neoplasm of colon,Alcorn County,MS,19-44,Male,1
C18,Malignant neoplasm of colon,Alleghany County,VA,45-64,Male,1
C18,Malignant neoplasm of colon,Anderson County,SC,19-44,Female,4
C18,Malignant neoplasm of colon,Anderson County,SC,45-64,Female,1
C18,Malignant neoplasm of colon,Anderson County,SC,45-64,Male,3
C18,Malignant neoplasm of colon,Anderson County,SC,65-84,Female,2
C18,Malignant neoplasm of colon,Anderson County,SC,65-84,Male,2
C18,Malignant neoplasm of colon,Augusta County,VA,19-44,Female,1
C18,Malignant neoplasm of colon,Augusta County,VA,45-64,Female,4
C18,Malignant neoplasm of colon,Augusta County,VA,45-64,Male,3
C18,Malignant neoplasm of colon,Augusta County,VA,65-84,Female,8
C18,Malignant neoplasm of colon,Augusta County,VA,65-84,Male,8
C18,Malignant neoplasm of colon,Berkeley County,SC,65-84,Male,1
C18,Malignant neoplasm of colon,Buncombe County,NC,14-18,Female,1
C18,Malignant neoplasm of colon,Buncombe County,NC,45-64,Male,2
C18,Malignant neoplasm of colon,Buncombe County,NC,65-84,Male,4
C18,Malignant neoplasm of colon,Caddo Parish,LA,19-44,Female,1
C18,Malignant neoplasm of colon,Caddo Parish,LA,45-64,Female,4
C18,Malignant neoplasm of colon,Caddo Parish,LA,45-64,Male,2
C18,Malignant neoplasm of colon,Caddo Parish,LA,65-84,Female,1
C18,Malignant neoplasm of colon,Caddo Parish,LA,65-84,Male,2
C18,Malignant neoplasm of colon,Chambers County,AL,45-64,Male,1
C18,Malignant neoplasm of colon,Charleston County,SC,19-44,Male,1
C18,Malignant neoplasm of colon,Charleston County,SC,45-64,Female,1
C18,Malignant neoplasm of colon,Charleston County,SC,45-64,Male,3
C18,Malignant neoplasm of colon,Charleston County,SC,65-84,Female,2
C18,Malignant neoplasm of colon,Charleston County,SC,65-84,Male,1
C18,Malignant neoplasm of colon,Charleston County,SC,85+,Female,1
C18,Malignant neoplasm of colon,Chester County,SC,65-84,Male,1
C18,Malignant neoplasm of colon,Clay County,FL,19-44,Female,1
C18,Malignant neoplasm of colon,Clay County,FL,19-44,Male,3
C18,Malignant neoplasm of colon,Clay County,FL,45-64,Female,1
C18,Malignant neoplasm of colon,Clay County,FL,45-64,Male,9
C18,Malignant neoplasm of colon,Clay County,FL,65-84,Female,20
C18,Malignant neoplasm of colon,Clay County,FL,65-84,Male,14
C18,Malignant neoplasm of colon,Clay County,FL,85+,Female,1
C18,Malignant neoplasm of colon,Coffee County,AL,45-64,Female,1
C18,Malignant neoplasm of colon,Coffee County,AL,45-64,Male,1
C18,Malignant neoplasm of colon,Colbert County,AL,45-64,Female,1
C18,Malignant neoplasm of colon,Colbert County,AL,65-84,Male,2
C18,Malignant neoplasm of colon,Covington County,AL,45-64,Male,1
C18,Malignant neoplasm of colon,Cumberland County,NC,19-44,Female,1
C18,Malignant neoplasm of colon,Cumberland County,NC,19-44,Male,1
C18,Malignant neoplasm of colon,Cumberland County,NC,45-64,Female,2
C18,Malignant neoplasm of colon,Cumberland County,NC,45-64,Male,1
C18,Malignant neoplasm of colon,Cumberland County,NC,65-84,Male,3
C18,Malignant neoplasm of colon,Cumberland County,TN,65-84,Male,1
C18,Malignant neoplasm of colon,Dorchester County,SC,65-84,Male,1
C18,Malignant neoplasm of colon,Dougherty County,GA,45-64,Male,1
C18,Malignant neoplasm of colon,Duval County,FL,19-44,Female,2
C18,Malignant neoplasm of colon,Duval County,FL,19-44,Male,3
C18,Malignant neoplasm of colon,Duval County,FL,45-64,Female,4
C18,Malignant neoplasm of colon,Duval County,FL,45-64,Male,5
C18,Malignant neoplasm of colon,Duval County,FL,65-84,Female,5
C18,Malignant neoplasm of colon,Duval County,FL,65-84,Male,5
C18,Malignant neoplasm of colon,Etowah County,AL,19-44,Female,1
C18,Malignant neoplasm of colon,Etowah County,AL,45-64,Female,10
C18,Malignant neoplasm of colon,Etowah County,AL,45-64,Male,5
C18,Malignant neoplasm of colon,Etowah County,AL,65-84,Female,9
C18,Malignant neoplasm of colon,Etowah County,AL,65-84,Male,12
C18,Malignant neoplasm of colon,Florence County,SC,45-64,Male,1
C18,Malignant neoplasm of colon,Floyd County,GA,65-84,Female,1
C18,Malignant neoplasm of colon,Franklin Parish,LA,65-84,Female,1
C18,Malignant neoplasm of colon,Gaston County,NC,45-64,Female,4
C18,Malignant neoplasm of colon,Gaston County,NC,45-64,Male,1
