fips,addressCounty,addressState,Total,C18 Total,C93 Total,C25 Total,C61 Total,C64 Total,C54 Total,C85 Total,C73 Total,C91 Total,C43 Total,C50 Total,C34 Total,C92 Total,C67 Total
01003,Baldwin County,AL,38.0,5.0,1.0,10.0,2.0,3.0,0.0,1.0,1.0,0.0,1.0,5.0,8.0,1.0,0.0
01007,Bibb County,AL,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
01015,Calhoun County,AL,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0
01017,Chambers County,AL,50.0,14.0,1.0,10.0,3.0,1.0,2.0,0.0,0.0,2.0,1.0,10.0,4.0,0.0,2.0
01021,Chilton County,AL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
01031,Coffee County,AL,204.0,15.0,2.0,13.0,8.0,3.0,1.0,4.0,1.0,11.0,40.0,81.0,20.0,0.0,5.0
01033,Colbert County,AL,256.0,34.0,0.0,6.0,13.0,9.0,3.0,11.0,3.0,5.0,7.0,99.0,51.0,9.0,6.0
01039,Covington County,AL,7.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
01043,Cullman County,AL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01055,Etowah County,AL,971.0,215.0,0.0,54.0,68.0,30.0,8.0,18.0,14.0,31.0,62.0,254.0,154.0,21.0,42.0
01059,Franklin County,AL,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0
01069,Houston County,AL,58.0,4.0,0.0,5.0,14.0,3.0,1.0,0.0,1.0,4.0,0.0,6.0,19.0,0.0,1.0
01073,Jefferson County,AL,1685.0,362.0,4.0,218.0,123.0,42.0,13.0,24.0,77.0,44.0,47.0,478.0,192.0,22.0,39.0
01077,Lauderdale County,AL,10.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0
01081,Lee County,AL,2274.0,297.0,6.0,156.0,293.0,58.0,43.0,75.0,37.0,90.0,62.0,612.0,413.0,45.0,87.0
01089,Madison County,AL,1293.0,102.0,18.0,117.0,140.0,27.0,17.0,56.0,17.0,58.0,84.0,316.0,240.0,69.0,32.0
01097,Mobile County,AL,153.0,28.0,0.0,11.0,9.0,3.0,0.0,4.0,3.0,4.0,4.0,57.0,16.0,9.0,5.0
11001,District of Columbia County,DC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
01101,Montgomery County,AL,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
01103,Morgan County,AL,8.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0
01111,Randolph County,AL,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
01113,Russell County,AL,142.0,26.0,0.0,7.0,17.0,4.0,0.0,2.0,4.0,7.0,18.0,32.0,18.0,3.0,4.0
01115,St. Clair County,AL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
01117,Shelby County,AL,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
